affinity,SiO2,TiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O
th,69.5,0.30,13.20,3.93,1.19,0.05,5.45,3.25
th,69.1,0.29,13.30,3.91,1.19,0.06,5.39,3.25
th,69.5,0.28,13.30,3.85,1.14,0.06,5.5,3.29
th,69.5,0.30,13.00,3.74,1.13,0.06,5.33,3.28
th,69.5,0.27,13.10,3.73,1.08,0.07,5.4,3.32
th,73.3,0.31,10.40,4.55,0.18,0.07,4.96,4.48
th,75.8,0.12,11.80,1.44,0.96,0.07,4.31,3.34
th,76.2,0.13,12.00,1.59,1.04,0.07,4.36,3.21
th,76.4,0.13,12.00,1.57,1.03,0.07,4.37,3.21
th,73.39,0.19,13.39,2.52,0.91,0.08,5.33,3.8
th,73.75,0.14,13.60,2.47,0.74,0.08,4.93,3.63
th,74.5,0.28,8.50,5.79,0.25,0.08,3.77,4.14
th,71.88788,0.17,13.14,2.30,1.51,0.08,4.77602,2.78899
th,69.4,0.29,12.90,3.77,1.16,0.09,5.14,3.16
th,69.7,0.30,13.20,3.97,1.15,0.09,5.25,3.28
th,71.24,0.34,13.90,3.10,1.03,0.09,5.55,3.74
th,72.1,0.33,11.50,4.34,0.46,0.09,5.84,4.26
th,74.25,0.30,12.09,3.53,1.90,0.09,4.7,2.84
th,66.22,0.36,16.40,3.51,0.60,0.10,5.4,4.03
th,70.2,0.24,12.50,2.60,1.80,0.10,5,2
th,74.38,0.29,11.98,3.59,1.80,0.10,4.6,2.96
th,74.08,0.32,12.18,3.61,1.93,0.11,4.63,2.8
th,75.28,0.35,12.36,2.84,1.94,0.12,3.92,2.83
th,69.93,0.34,14.72,4.83,2.66,0.13,4.85,2.33
th,72.59,0.22,14.67,3.21,2.14,0.13,4.74,2.55
th,72.95,0.18,13.48,2.60,0.88,0.13,4.79,3.93
th,74.13,0.36,11.78,3.42,1.92,0.14,4.96,2.92
th,71.62,0.26,14.47,2.28,0.88,0.15,5.37,4.52
th,74.46,0.37,12.09,3.72,1.95,0.15,4.2,2.86
th,68.9,0.36,13.30,4.27,1.28,0.16,5.16,3.24
th,73.72,0.21,13.53,2.19,0.85,0.16,4.89,4.13
th,65.51,0.26,17.70,2.88,0.70,0.17,5.6,6.05
th,74.7,0.39,12.04,3.94,2.07,0.18,3.69,2.62
th,69.67,0.29,13.25,3.71,1.16,0.19,4.85,2.92
th,71.46,0.27,12.74,2.51,1.61,0.19,4.06,1.84
th,71.16,0.29,14.72,2.65,1.06,0.21,5.33,4.5
th,74.31,0.37,12.25,2.85,1.79,0.21,4.29,2.48
th,74.66,0.30,11.70,2.60,1.56,0.22,4.34,2.55
th,73.9,0.14,13.91,1.95,0.86,0.23,4.72,4.1
th,75.2,0.30,12.30,2.53,1.67,0.24,4.61,2.51
th,75.88,0.33,12.75,2.67,1.59,0.24,3.9,2.22
th,68.87966,0.32,14.18,3.91,2.46,0.25,4.82139,2.3509
th,72.22,0.46,12.12,4.62,2.10,0.25,5.07,2.72
th,74.72,0.29,12.35,2.59,1.62,0.25,4.35,2.54
th,74.72,0.29,12.35,2.59,1.62,0.25,4.35,2.54
th,68.41431,0.31,14.24,4.10,2.55,0.25,4.84358,2.30544
th,68.70673,0.33,14.30,4.09,2.55,0.26,4.84817,2.31411
th,73.79,0.30,12.79,2.60,1.61,0.28,4.31,2.56
th,70.31,0.32,14.46,3.08,1.10,0.29,5.56,4.23
th,72.31,0.30,14.10,2.55,1.13,0.29,4.81,4.11
th,69.6,0.29,13.90,3.01,0.97,0.30,5.57,4.25
th,72.75,0.31,13.77,2.49,1.16,0.30,4.71,4.11
th,68.31258,0.35,14.47,4.25,2.63,0.30,4.80614,2.29281
th,64.09,0.55,14.31,7.51,3.67,0.33,4.78,1.91
th,69.3,0.29,13.80,3.03,1.05,0.34,5.69,4.2
th,67.09,0.62,12.72,7.14,2.89,0.35,4.06,2.1
th,73.23,0.48,12.57,3.75,2.68,0.36,3.54,3.05
th,62.87,0.70,14.30,8.96,4.18,0.57,4.58,1.74
th,65.66,0.62,14.44,6.38,3.33,0.57,4.51,2.2
th,72.58,0.61,12.34,4.64,2.74,0.60,3.64,2.51
th,65.8,0.71,13.70,5.82,1.71,0.63,4.63,2.9
th,69.1,0.67,11.53,7.68,2.44,0.64,3.39,3.13
th,64.47,0.71,14.41,5.76,3.52,0.66,4.07,2.14
th,68.64,0.70,11.27,8.17,2.91,0.67,3.01,3.16
th,66.96,0.73,12.42,8.42,2.43,0.68,3.42,3.33
th,62.39,0.83,14.24,7.98,3.92,0.70,4.64,2.7
th,64.6,0.75,15.90,4.95,2.30,0.70,5.1,3.93
th,73.24,0.42,13.25,4.01,2.70,0.71,2.61,2.7
th,68.56,0.74,12.69,4.56,2.34,0.73,3.75,3.26
th,62.83,0.72,16.10,5.16,2.50,0.80,5.89,4
th,63.7,0.79,13.50,7.83,3.70,0.80,4.35,2.43
th,62.71,0.69,15.01,7.81,4.07,0.85,4.66,1.75
th,63.55,0.70,14.92,7.81,4.13,0.91,4.88,1.75
th,61.15,0.92,15.66,8.03,3.45,0.93,5.31,3.23
th,61.61,0.79,14.16,9.40,4.37,0.98,4.71,1.66
th,62.49,0.76,15.24,8.30,4.36,0.98,4.69,1.74
th,71.05,0.88,12.87,4.57,3.25,1.04,3.65,2.19
th,59.27,1.12,13.68,9.90,4.76,1.07,4.51,2
th,66.45,1.00,13.09,5.15,3.80,1.09,4.29,1.54
th,67.35,1.09,12.98,5.03,3.00,1.18,3.36,3.19
th,61.39,1.00,15.02,9.07,4.63,1.25,4.6,1.71
th,57.5,1.43,12.59,13.28,5.82,1.26,3.22,1.84
th,64.62,1.13,13.63,5.23,3.07,1.29,4.37,2.4
th,64.25,0.87,15.09,7.72,4.88,1.35,4.14,1.34
th,65.0603625120868,0.85,15.35,5.88,4.75,1.36,4.23965756907729,1.34662073588977
th,64.9653888132615,0.85,15.25,5.89,4.74,1.37,4.19993170702613,1.35346636405825
th,64.74,0.93,15.74,6.24,4.86,1.37,4.31,0.36
th,63.9053199280119,0.86,15.21,5.94,4.72,1.37,4.18000685557925,1.30358188602804
th,63.42,1.43,14.60,6.86,4.00,1.38,4.78,1.93
th,64.618202029483,0.85,15.20,5.89,4.75,1.38,4.21972850012249,1.33820554605111
th,64.854931257204,0.86,15.28,5.92,4.76,1.39,4.20490419082758,1.32608562424681
th,64.89,0.95,15.32,6.38,4.66,1.39,4.63,1.34
th,64.6875611650342,0.85,15.29,5.91,4.76,1.39,4.18999426507434,1.33286444787217
th,64.6162549993794,0.86,15.27,5.94,4.76,1.40,4.17148577645497,1.34374756413702
th,64.7377628876746,0.86,15.29,5.99,4.79,1.41,4.22866867528434,1.31771545122175
th,65.0079286406723,0.86,15.29,5.97,4.78,1.41,4.19280549617355,1.35505889876334
th,61.55,0.98,15.36,8.34,4.58,1.42,4.74,1.72
th,67.8,0.46,15.00,3.20,4.00,1.42,3.86,1.73
th,63.9387761171021,0.87,15.14,6.02,4.75,1.43,4.11671463448297,1.29600275530019
th,64.82862537284,0.88,15.28,6.06,4.85,1.45,4.22145466823158,1.31982950309467
th,64.4078486939945,0.88,15.26,6.08,4.72,1.45,4.1650587707962,1.30785429309659
th,64.542425305438,0.87,15.22,6.06,4.82,1.45,4.17813853680142,1.30734981165835
th,65.041,0.88,15.29,6.10,4.84,1.45,4.218,1.319
th,64.8246519688569,0.88,15.23,6.07,4.80,1.45,4.16832352789727,1.31075597675336
th,64.5440808592898,0.88,15.22,6.09,4.83,1.45,4.19105753076868,1.30029479422373
th,64.7737872878225,0.88,15.35,6.10,4.81,1.47,4.19614660824984,1.30259527412495
th,58.99,1.30,15.20,9.82,5.42,1.50,4.41,1.54
th,67.49,0.75,13.30,6.02,4.40,1.52,3.7,2.05
th,59.64143,1.16,15.22,9.24,5.07,1.57,4.55167,1.65755
th,65.34,1.19,13.08,6.41,3.41,1.67,3.47,2.81
th,66.85,0.83,13.24,6.11,4.85,1.68,3.86,1.98
th,59.8,1.16,16.64,7.06,4.18,1.71,5.49,2.65
th,60.59,1.25,15.07,7.81,4.94,1.73,4.29,1.59
th,59.7,1.17,15.20,8.94,5.06,1.77,4.52,1.6
th,58.78,1.32,15.08,9.71,5.39,1.82,4.46,1.53
th,57.82,1.27,14.69,10.26,5.18,1.88,4.07,1.39
th,62.89,1.48,13.10,7.55,4.05,1.88,3.4,2.61
th,64.18,1.27,13.11,6.84,3.36,1.88,3.58,2.6
th,67.91,0.92,12.43,5.34,3.53,1.99,3.74,3.32
th,55.75,1.91,15.13,11.34,6.67,2.00,4.16,1.34
th,56.86,1.72,15.70,8.89,5.50,2.02,4.3,2.57
th,56.99,1.50,14.58,10.69,5.68,2.05,3.84,1.31
th,63.71,1.60,13.08,6.87,4.33,2.07,2.75,2.47
th,58.1,1.46,15.09,9.88,5.70,2.08,4.22,1.46
th,62.69,0.72,15.37,6.34,4.29,2.10,4.8,2.96
th,57.26,1.53,14.96,10.44,5.85,2.13,4.29,1.41
th,63.57,0.98,15.21,5.40,4.55,2.13,4.28,3.02
th,57.89,1.49,15.04,9.94,5.77,2.14,4.24,1.44
th,58.08544,1.47,15.31,9.92,5.76,2.16,4.21741,1.46868
th,57.6692,1.48,15.20,9.95,5.77,2.17,4.21093,1.47482
th,60.11,1.41,15.76,8.41,5.55,2.22,3.15,2.18
th,55.55,1.92,15.06,11.17,6.51,2.25,3.98,1.3
th,57,1.60,14.98,10.42,5.95,2.28,4.16,1.41
th,56.15,1.70,14.73,11.36,6.09,2.30,3.96,1.27
th,56.52,1.64,14.88,10.70,6.06,2.35,4.23,1.36
th,56.21,1.73,14.62,9.83,5.83,2.38,3.47,1.72
th,56.37,1.67,14.92,10.73,6.10,2.38,4.16,1.38
th,62.7,1.27,13.50,7.09,5.50,2.40,4.16,1.99
th,59.93,1.27,15.83,8.48,6.55,2.45,3.93,0.98
th,57.8,2.10,13.93,10.19,5.78,2.52,3.66,1.65
th,55.7,1.78,14.81,11.09,6.31,2.54,4.06,1.31
th,59.82,1.93,13.20,9.45,5.22,2.54,3.17,2.14
th,55.64284,1.77,15.14,11.30,6.34,2.58,4.11898,1.34519
th,53.4,2.26,12.39,14.76,7.34,2.62,3.34,0.98
th,55.48,1.92,14.58,11.31,6.50,2.63,4.02,1.3
th,55.37,1.91,14.63,11.21,6.53,2.64,4,1.28
th,58.03,2.36,13.10,11.45,6.62,2.64,3.48,1.13
th,54.58904,1.90,14.80,11.35,6.58,2.68,4.03784,1.33122
th,52.15,2.58,13.46,13.31,7.65,2.69,2.6,1.03
th,55.42,1.94,15.17,11.41,6.64,2.71,4.07,1.27
th,55.07,1.99,14.53,11.36,6.57,2.72,3.97,1.25
th,54.35,1.96,14.50,11.99,6.68,2.73,4.2,1.26
th,54.93,1.96,14.54,11.39,6.58,2.73,4.05,1.27
th,54.80804,1.96,14.90,11.44,6.67,2.74,4.01675,1.28149
th,54.83,1.99,14.52,11.42,6.65,2.75,4.03,1.26
th,56.13,1.75,14.54,11.12,6.29,2.75,4.27,1.31
th,54.83,1.99,14.54,11.41,6.65,2.76,4.02,1.26
th,54.9,1.89,14.61,11.05,6.56,2.76,4.17,1.28
th,54.72,2.00,14.50,11.52,6.64,2.77,4.03,1.26
th,57.06,2.15,14.08,10.79,6.32,2.78,3.68,1.31
th,54.5,1.90,15.80,11.02,6.40,2.80,3.9,1.4
th,54.57,2.03,14.49,11.60,6.66,2.80,4,1.26
th,54.65,2.03,14.12,11.90,6.50,2.80,3.77,1.19
th,57.69,2.35,13.09,11.62,6.77,2.82,3.49,1.12
th,53.2,2.51,12.40,14.76,7.32,2.84,3.47,0.85
th,54.75,2.10,14.36,11.63,6.87,2.86,3.95,1.23
th,53.92228,2.01,14.76,11.71,6.74,2.86,3.8839,1.24812
th,54.56517,2.06,14.75,11.74,6.80,2.86,3.94059,1.26461
th,54.33,2.11,14.35,11.69,6.78,2.88,3.95,1.24
th,54.21,2.07,14.49,11.73,6.79,2.89,3.93,1.23
th,54.23,2.07,14.49,11.72,6.79,2.89,3.92,1.21
th,54.43,2.21,14.35,11.66,6.98,2.89,3.9,1.19
th,54.3,2.11,14.47,11.65,6.80,2.91,3.85,1.2
th,55.87,2.40,13.56,11.08,6.47,2.91,3.69,1.29
th,54.051,2.04,14.96,11.85,6.83,2.92,3.967,1.252
th,53.1,2.51,12.50,14.67,7.37,2.93,3.4,0.79
th,54.1,2.09,14.49,11.74,6.84,2.93,3.88,1.22
th,54.16,2.13,14.43,11.94,6.86,2.94,3.89,1.22
th,54.03,2.13,14.46,11.74,6.86,2.95,3.89,1.21
th,54.06,2.09,14.46,11.74,6.83,2.95,3.97,1.21
th,53.70819,2.12,14.80,11.93,6.98,2.97,3.95097,1.23478
th,53.3,2.37,11.90,14.85,7.41,2.97,3.26,0.81
th,54.8,1.88,14.66,12.00,6.53,2.97,4.2,1.31
th,53.89713,2.12,14.83,11.89,6.92,2.98,3.91788,1.22706
th,53.88,2.15,14.47,11.83,6.89,2.98,3.89,1.2
th,54.51,2.17,14.40,11.87,6.73,3.00,3.89,1.23
th,56.72,1.69,14.25,10.80,6.39,3.00,3.47,1.21
th,53.7,2.18,14.40,11.90,6.91,3.01,3.87,1.2
th,53.79,2.21,14.37,12.16,7.11,3.01,3.93,1.19
th,54.36,2.05,14.64,12.08,6.89,3.03,4.15,1.23
th,53.8,2.19,14.43,11.95,6.96,3.04,3.85,1.19
th,53.53,2.20,14.36,11.96,6.97,3.08,3.92,1.19
th,62.25,0.93,13.88,7.37,6.87,3.08,3.43,1.59
th,55.32,2.66,13.67,12.56,6.91,3.25,3.46,1.06
th,50.88,2.92,13.23,14.33,7.64,3.27,3.83,1.11
th,52.68,3.13,12.83,13.14,7.43,3.36,3.53,1.06
th,57.49,1.72,14.19,8.48,6.44,3.56,4.42,2.26
th,54.11,2.65,12.64,12.81,7.35,3.61,3.42,1.17
th,53.37,2.93,13.20,13.01,7.78,3.63,3.35,0.93
th,59.61,0.87,14.15,5.99,6.71,3.67,3.65,2.33
th,52.4,2.53,12.90,14.31,8.06,3.69,3.2,0.76
th,50.75,3.15,13.27,14.06,7.87,3.70,3.31,1.07
th,51.96,2.86,12.60,13.88,7.91,3.86,2.66,1.059
th,62.62,0.61,14.33,4.86,4.43,3.86,4.24,3.02
th,61.94,0.91,14.11,6.49,6.73,3.88,3.01,1.7
th,49.2,3.16,16.19,11.30,9.55,3.91,3.66,0.86
th,49.96,3.88,13.34,13.85,7.76,3.94,3.45,1.22
th,51,2.62,13.18,13.36,8.06,3.97,2.57,0.73
th,50.34,3.29,13.37,13.47,8.53,3.98,3.15,0.85
th,51.54,2.21,13.14,12.99,8.61,3.98,2.74,0.76
th,51.11,2.85,13.07,12.81,8.84,4.02,0.4,2.89
th,51.42,2.99,12.56,14.41,7.82,4.11,2.96,0.611
th,52.06,2.43,14.76,11.12,8.52,4.13,4.03,1.02
th,52.48,2.20,13.77,11.36,6.96,4.13,3.55,1.125
th,48.2,2.52,18.13,11.62,11.03,4.3,2.97,0.65
th,49.86,2.88,14.82,13.98,9.43,4.32,3.19,0.12
th,51.84,2.36,14.13,12.31,7.90,4.33,3.05,1.17
th,48.51,3.89,13.7,14.027882,9.21,4.42,3.19,0.86
th,50.49,2.93,14.55,11.91,9.03,4.42,3.84,1.09
th,47.82,3.06,15.59,16.11,6.88,4.43,3.55,1.02
th,50.17,3.81,12.77,14.85,8.97,4.47,3.03,0.58
th,51.7,2.98,14.53,11.38,8.20,4.48,3.98,1.32
th,57.7,1.78,14.36,10.69,6.56,4.54,2.27,0.62
th,47.35,4.33,13.41,14.693734,9.14,4.56,3.18,0.77
th,48.96,3.37,12.72,14.17,9.83,4.56,3.29,0.57
th,50.29,3.60,13.05,14.22,8.26,4.57,3.38,1.03
th,48.89,3.12,13.71,15.20,9.87,4.60,2.75,0.32
th,49.01,3.56,13.56,15.25,9.26,4.61,2.78,0.34
th,49.97,3.29,13.15,15.01,9.52,4.65,2.67,0.43
th,55.66,2.04,13.92,9.79,7.73,4.70,3.25,1.48
th,50.15,2.80,12.64,29.01,9.06,4.71,2.93,0.53
th,50.03,2.77,12.63,28.89,9.12,4.73,2.91,0.52
th,50.15,2.78,12.64,29.35,9.11,4.75,2.95,0.52
th,50.91,2.73,14.97,12.77,8.69,4.75,3.4,1.1
th,50,2.78,13.21,16.05,9.54,4.78,2.46,0.53
th,50.31,3.53,13.24,14.05,9.34,4.78,2.86,0.65
th,50.42,2.59,14.16,14.17,10.40,4.79,2.62,0.51
th,50.43,2.76,12.74,28.96,9.25,4.80,2.88,0.52
th,50.1,2.83,13.03,15.73,9.45,4.81,2.49,0.52
th,50.2,2.82,13.02,15.71,9.45,4.82,2.46,0.52
th,52.21,2.23,12.80,14.31,8.90,4.84,3,0.64
th,49.84,2.99,13.37,14.66,9.35,4.91,2.99,0.59
th,52.58,2.47,14.31,10.22,8.60,4.93,3.75,1.47
th,48.92,3.71,13.14,15.23,9.13,4.95,2.81,0.76
th,47.16,4.46,13.1,14.972672,9.61,4.96,2.86,0.76
th,51.3,2.50,13.16,13.71,9.00,4.96,2.92,0.62
th,53.85,1.87,12.96,15.02,7.38,5.01,2.39,0.62
th,51.43,2.83,13.45,13.59,9.44,5.03,2.8,0.61
th,50.5,3.33,12.97,13.94,9.87,5.05,2.83,0.66
th,48.64,2.65,13.37,12.938098,11.12,5.07,3.04,0.41
th,49.22,3.58,13.22,14.50,9.50,5.10,3.04,0.47
th,49.82,3.80,13.34,14.29,8.92,5.12,2.63,0.62
th,54.3,4.63,14.60,11.75,9.24,5.13,3.97,0.65
th,48.43,3.53,13.34,13.96407,9.67,5.18,2.76,0.68
th,52.22,2.24,12.98,13.96,9.29,5.20,2.57,0.58
th,59.51,0.96,15.33,6.44,6.45,5.20,3.46,2.27
th,52.68,1.68,14.26,12.31,9.12,5.21,3.2,0.42
th,46.844,3.71,13.533,15.3,9.261,5.212,3.163,0.763
th,50.38,2.94,14.36,13.01,9.12,5.23,2.92,0.88
th,49,3.16,13.94,14.76,8.99,5.26,2.95,0.45
th,50.07,2.67,14.04,13.59,9.87,5.27,2.73,0.46
th,48.91,3.56,13.52,14.85,9.06,5.28,2.84,0.56
th,50.11,3.31,12.87,13.89,9.36,5.37,2.62,0.615
